iter	Logloss
0	0.6461145816
1	0.5939116105
2	0.5490426437
3	0.5266669232
4	0.513098244
5	0.4947011533
6	0.4870429661
7	0.4744314443
8	0.4620582581
9	0.456564895
10	0.4508859054
11	0.4406136554
12	0.4340846186
13	0.4279014919
14	0.4220305733
15	0.4142556895
16	0.4098066579
17	0.4061673372
18	0.4024021315
19	0.3981941555
20	0.3951339722
21	0.3904088559
22	0.384636058
23	0.3801617498
24	0.3759324447
25	0.3725583947
26	0.3710580577
27	0.3685649374
28	0.3640704943
29	0.361767943
30	0.3600866898
31	0.3570344676
32	0.3541125754
33	0.3516216112
34	0.349077573
35	0.3457780589
36	0.3419818712
37	0.3394187264
38	0.3374518685
39	0.335017594
40	0.3329334093
41	0.3305927111
42	0.327928427
43	0.3270116391
44	0.3232817608
45	0.3202454277
46	0.3178056136
47	0.3139720087
48	0.3100079744
49	0.30692822
50	0.3044564952
51	0.3022250963
52	0.2996314339
53	0.2976055643
54	0.295333796
55	0.2933990479
56	0.2900383659
57	0.2881693633
58	0.2860100124
59	0.2845753545
60	0.2828816289
61	0.2815339462
62	0.2799055017
63	0.2773678655
64	0.2755442412
65	0.2734567393
66	0.2707844444
67	0.2690465512
68	0.2674723252
69	0.2661429364
70	0.2629385243
71	0.2613525391
72	0.259108137
73	0.2560373389
74	0.2550398122
75	0.2522111146
76	0.2498232966
77	0.247976386
78	0.24659389
79	0.2449217755
80	0.2433511485
81	0.2418011707
82	0.2403394948
83	0.2381479015
84	0.2369804714
85	0.2354527017
86	0.2332499297
87	0.2316144363
88	0.2296261331
89	0.2279260055
90	0.2259165225
91	0.2246261265
92	0.2223637456
93	0.2202787648
94	0.2185951565
95	0.2170177294
96	0.2154030178
97	0.2136082691
98	0.212871253
99	0.2120470462
100	0.210587261
101	0.2080583324
102	0.2061275648
103	0.2048361405
104	0.2029490098
105	0.2009882885
106	0.1987092391
107	0.1968080438
108	0.195308337
109	0.1943094005
110	0.1926566912
111	0.191530775
112	0.1902813455
113	0.1886573792
114	0.1872670049
115	0.1848717068
116	0.18437568
117	0.1824982187
118	0.181391376
119	0.1797121794
120	0.1787445068
121	0.1779413472
122	0.17598731
123	0.1749669946
124	0.1735877659
125	0.1722253717
126	0.1707866005
127	0.1691985089
128	0.1680589095
129	0.1671791077
130	0.1654038802
131	0.1642440796
132	0.1627962527
133	0.1612666918
134	0.1602081962
135	0.1588603144
136	0.1573319311
137	0.1560388814
138	0.1548241988
139	0.1531291132
140	0.1522212816
141	0.1504853953
142	0.1495443261
143	0.1484528583
144	0.1473622529
145	0.1460504615
146	0.1448426288
147	0.1438542242
148	0.1427970886
149	0.1422994365
150	0.1410834271
151	0.1402235612
152	0.1394299383
153	0.1381791073
154	0.1375618147
155	0.1367734577
156	0.1362616166
157	0.1353664066
158	0.1349063127
159	0.1340023953
160	0.1333194401
161	0.1323822851
162	0.131279058
163	0.1306286522
164	0.1300449869
165	0.1293723645
166	0.1285100273
167	0.127288412
168	0.1262489319
169	0.1248588064
170	0.1242516642
171	0.1234326653
172	0.1226825051
173	0.1215651802
174	0.1207259883
175	0.1197106652
176	0.1192312738
177	0.1183536778
178	0.1176670074
179	0.1166787438
180	0.1156752379
181	0.1150145655
182	0.1142956692
183	0.1133970178
184	0.1125022639
185	0.1117162953
186	0.1113101793
187	0.1105360529
188	0.1095816405
189	0.1088463659
190	0.1081815305
191	0.1074254492
192	0.1064166359
193	0.1058183587
194	0.1050249266
195	0.1041926923
196	0.10358351
197	0.1028690172
198	0.1022066531
199	0.1013570537
200	0.100787113
201	0.1002087717
202	0.09969192173
203	0.09895441636
204	0.09831479943
205	0.09793158821
206	0.09733702618
207	0.09676297229
208	0.09626874509
209	0.09540784255
210	0.09484670888
211	0.09433676678
212	0.09376931398
213	0.09286915323
214	0.09233055944
215	0.0918681435
216	0.09134887198
217	0.09065808006
218	0.09004490065
219	0.08947537464
220	0.08900118289
221	0.08849384474
222	0.08778209686
223	0.0873134613
224	0.08662685726
225	0.08616216908
226	0.08573813231
227	0.08535270691
228	0.08507231007
229	0.08458809231
230	0.08398666382
231	0.08330809552
232	0.08269917032
233	0.08243880065
234	0.08198269554
235	0.08142596535
236	0.08082398124
237	0.08032034169
238	0.08004006925
239	0.07968111453
240	0.07920104317
241	0.0788985128
242	0.07841931219
243	0.07797902978
244	0.07769085428
245	0.07730712891
246	0.07658323205
247	0.07612080781
248	0.07556490691
249	0.07524020154
250	0.07466545105
251	0.0743556147
252	0.07373615762
253	0.0733151809
254	0.07282273666
255	0.07230925353
256	0.07168978815
257	0.071070414
258	0.07051705899
259	0.07005594502
260	0.06949071884
261	0.06930372819
262	0.06902414819
263	0.06879332169
264	0.06842407144
265	0.06818151889
266	0.0676260575
267	0.0670841217
268	0.06676691304
269	0.06631651754
270	0.06607564843
271	0.0658420314
272	0.06549776326
273	0.06510444724
274	0.0647263983
275	0.06453225509
276	0.0639220528
277	0.06343583646
278	0.06310041676
279	0.06281524326
280	0.06251208679
281	0.06216612277
282	0.06180563388
283	0.06140907951
284	0.06088834016
285	0.06062843074
286	0.06044254303
287	0.06008988256
288	0.05980291367
289	0.05954032152
290	0.05932838191
291	0.05888690119
292	0.05840579738
293	0.05809214633
294	0.05774214371
295	0.05735306118
296	0.05710456268
297	0.05670690536
298	0.05652698019
299	0.05620959738
300	0.05591536812
301	0.05562158668
302	0.05527495509
303	0.05495187511
304	0.05471381726
305	0.05456924438
306	0.0543769712
307	0.05406640094
308	0.05389983965
309	0.05349180802
310	0.05325316968
311	0.05305972721
312	0.05278026747
313	0.05256594782
314	0.05240738081
315	0.05209236974
316	0.05168723231
317	0.05131914305
318	0.05105894752
319	0.0508570132
320	0.05063578979
321	0.05038547931
322	0.05027523041
323	0.05003758306
324	0.04980005596
325	0.04955183941
326	0.04932383247
327	0.04905395093
328	0.0489433952
329	0.04875603137
330	0.04855408876
331	0.04830418877
332	0.04819414719
333	0.04783613785
334	0.047522379
335	0.04722307869
336	0.04691698655
337	0.04670532061
338	0.04659900665
339	0.04634790835
340	0.04605374544
341	0.04589222203
342	0.04571312614
343	0.04543887843
344	0.04529736146
345	0.04501515264
346	0.04487448153
347	0.04450594031
348	0.04431390762
349	0.0440385238
350	0.04385469685
351	0.04365063958
352	0.04343585139
353	0.04331319643
354	0.04309050519
355	0.04278824433
356	0.04244171226
357	0.04222780311
358	0.04197550235
359	0.04177125433
360	0.04148857697
361	0.04135411304
362	0.04122020058
363	0.04106755464
364	0.04072994979
365	0.04045207397
366	0.04030752182
367	0.04012707005
368	0.03983381106
369	0.03958327667
370	0.03940329344
371	0.03928626517
372	0.03911566112
373	0.03893349689
374	0.03874128176
375	0.0385703543
376	0.03830189912
377	0.03812073832
378	0.03790876554
379	0.03774691043
380	0.03763392905
381	0.03743278669
382	0.03723114677
383	0.03709607746
384	0.03684127642
385	0.03667466951
386	0.03646711267
387	0.03635263028
388	0.0361769386
389	0.03600572918
390	0.0358493722
391	0.03573966648
392	0.03559634167
393	0.03543925078
394	0.03521383949
395	0.03498513595
396	0.03486060682
397	0.03475649875
398	0.03458479384
399	0.03443123361
400	0.03429257351
401	0.03418151399
402	0.0340321292
403	0.03388204989
404	0.0337702378
405	0.03368815339
406	0.03355682622
407	0.0333864834
408	0.03316075284
409	0.03300745591
410	0.0329232133
411	0.03281009923
412	0.0327081701
413	0.03255329547
414	0.03234119208
415	0.03220453677
416	0.03212603071
417	0.03198467338
418	0.03191651261
419	0.0317694125
420	0.0315720724
421	0.03142732952
422	0.03127753838
423	0.03115451232
424	0.03103360715
425	0.03091104342
426	0.03071569982
427	0.0306668323
428	0.03050339948
429	0.03038285504
430	0.03032047852
431	0.03023466442
432	0.03010254736
433	0.02995489577
434	0.02988447106
435	0.02973364332
436	0.02963467474
437	0.02949905603
438	0.0294506923
439	0.02931426297
440	0.02918334007
441	0.0290022622
442	0.02890880419
443	0.0288196232
444	0.02870798318
445	0.02860193253
446	0.02848017734
447	0.02840977544
448	0.02829086884
449	0.02809303947
450	0.02804105593
451	0.02790135923
452	0.02774332088
453	0.0276611722
454	0.02756210825
455	0.02743945536
456	0.02733389813
457	0.02727375031
458	0.02716827393
459	0.02711124213
460	0.02702323457
461	0.02694883347
462	0.02688103759
463	0.02679955648
464	0.02670460991
465	0.02659978452
466	0.02644602734
467	0.02635313532
468	0.02629872405
469	0.02623011133
470	0.02614211207
471	0.02601471777
472	0.02589478078
473	0.02582002723
474	0.02572994439
475	0.02559862551
476	0.02548828125
477	0.02538280487
478	0.02533223733
479	0.02521640943
480	0.02516349295
481	0.02507930839
482	0.02500176222
483	0.02490988607
484	0.02476629589
485	0.02464288836
486	0.02458853307
487	0.02448470903
488	0.02438703205
489	0.02428726113
490	0.0242342555
491	0.02412262378
492	0.02402767513
493	0.02396650522
494	0.02387885218
495	0.02380553121
496	0.02369529475
497	0.02362071742
498	0.02350301328
499	0.02341677624
499	0.02197055402

